CNTYVTD,VTDKEY,BushR_18G_Land Comm,SuazoD_18G_Land Comm,PinaL_18G_Land Comm
"2010598",4616,787,1858,67
"2010599",4617,517,1083,35
"2010600",4618,640,1431,36
"2010601",4619,1779,821,82
"2010602",4620,560,284,16
"2010603",4621,1337,1252,80
"2010604",4622,1601,298,80
"2010605",4623,406,1458,29
"2010606",4624,13,327,2
"2010607",4625,25,205,5
"2010608",4626,56,127,2
"2010609",4627,1350,1094,55
"2010610",4628,360,629,22
"2010611",4629,46,924,12
"2010612",4630,1557,559,82
"2010613",4631,194,942,16
"2010614",4632,647,1538,30
"2010615",4633,582,634,37
"2010616",4634,1320,870,78
"2010617",4635,579,1433,49
"2010618",4636,736,1177,33
"2010619",4637,2111,987,102
"2010620",4638,939,926,43
"2010621",4639,241,402,21
"2010622",4640,1265,1207,78
"2010623",4641,1199,866,56
"2010624",4642,314,118,9
"2010625",4643,600,549,39
"2010626",4644,1326,1320,89
"2010627",4645,352,986,31
"2010628",4646,319,630,13
"2010629",4647,23,160,1
"2010630",4648,246,2777,41
"2010631",4649,1043,622,39
"2010632",4650,1,2,0
"2010633",4651,1672,885,61
"2010634",4652,831,756,45
"2010635",4653,1298,531,83
"2010636",4654,2526,321,89
"2010637",4655,322,999,29
"2010638",4656,92,832,18
"2010639",4657,1047,341,45
"2010640",4658,970,984,59
"2010641",4659,1090,886,56
"2010642",4660,879,292,28
"2010643",4661,949,1273,55
"2010644",4662,1276,1134,73
"2010645",4663,881,1633,86
"2010646",4664,319,804,14
"2010647",4665,493,1129,17
"2010648",4666,1352,694,64
"2010649",4667,545,1520,36
"2010650",4668,1611,900,68
"2010651",4669,956,1011,53
"2010652",4670,265,1271,17
"2010653",4671,46,183,3
"2010654",4672,1489,1535,82
"2010655",4673,1145,1163,65
"2010656",4674,66,1117,13
"2010657",4675,246,531,19
"2010658",4676,877,647,54
"2010659",4677,2036,1008,93
"2010660",4678,190,1523,16
"2010661",4679,1096,1285,55
"2010662",4680,1932,541,57
"2010663",4681,763,796,56
"2010664",4682,225,900,10
"2010665",4683,1171,315,40
"2010666",4684,0,0,0
"2010667",4685,960,392,27
"2010668",4686,1172,916,76
"2010669",4687,1454,762,42
"2010670",4688,1612,515,54
"2010671",4689,844,838,58
"2010672",4690,1253,768,54
"2010673",4691,1358,362,48
